,Season_Year,REGION,ILITOTAL,TOTAL PATIENTS,Season
367,22017,Montana,324.0,151198.0,Season 2017-18
368,22017,Nebraska,11543.0,352371.0,Season 2017-18
369,22017,Nevada,10869.0,883715.0,Season 2017-18
370,22017,New Hampshire,1768.0,129623.0,Season 2017-18
371,22017,New Jersey,41647.0,1224219.0,Season 2017-18
372,22017,New Mexico,21205.0,769169.0,Season 2017-18
373,22017,New York,16796.0,549501.0,Season 2017-18
374,22017,North Carolina,16229.0,597828.0,Season 2017-18
375,22017,North Dakota,767.0,51545.0,Season 2017-18
376,22017,Ohio,12675.0,800104.0,Season 2017-18
377,22017,Oklahoma,11300.0,312221.0,Season 2017-18
378,22017,Oregon,30355.0,1441103.0,Season 2017-18
379,22017,Pennsylvania,49475.0,2400267.0,Season 2017-18
380,22017,Rhode Island,3846.0,231929.0,Season 2017-18
381,22017,South Carolina,10241.0,258897.0,Season 2017-18
382,22017,South Dakota,9671.0,416511.0,Season 2017-18
383,22017,Tennessee,7077.0,390916.0,Season 2017-18
384,22017,Texas,66340.0,1288509.0,Season 2017-18
385,22017,Utah,11644.0,1239154.0,Season 2017-18
386,22017,Vermont,2075.0,103557.0,Season 2017-18
387,22017,Virginia,126245.0,4380960.0,Season 2017-18
388,22017,Washington,3753.0,296762.0,Season 2017-18
389,22017,West Virginia,9790.0,505687.0,Season 2017-18
390,22017,Wisconsin,5846.0,260883.0,Season 2017-18
391,22017,Wyoming,4537.0,181588.0,Season 2017-18
392,22018,Alabama,56611.0,1994755.0,Season 2018-19
393,22018,Alaska,7448.0,239048.0,Season 2018-19
394,22018,Arizona,23140.0,850088.0,Season 2018-19
395,22018,Arkansas,5306.0,179012.0,Season 2018-19
396,22018,California,47902.0,2240596.0,Season 2018-19
397,22018,Colorado,61288.0,1854728.0,Season 2018-19
398,22018,Connecticut,6205.0,195770.0,Season 2018-19
399,22018,Delaware,602.0,116801.0,Season 2018-19
400,22018,Georgia,118065.0,3622570.0,Season 2018-19
401,22018,Hawaii,1858.0,76907.0,Season 2018-19
402,22018,Idaho,726.0,58396.0,Season 2018-19
403,22018,Illinois,35883.0,2234358.0,Season 2018-19
404,22018,Indiana,4712.0,213321.0,Season 2018-19
405,22018,Iowa,2725.0,256029.0,Season 2018-19
406,22018,Kansas,12248.0,562598.0,Season 2018-19
407,22018,Kentucky,14285.0,483148.0,Season 2018-19
408,22018,Louisiana,102347.0,2639323.0,Season 2018-19
409,22018,Maine,9008.0,588019.0,Season 2018-19
410,22018,Maryland,5810.0,331601.0,Season 2018-19
411,22018,Massachusetts,38833.0,2257081.0,Season 2018-19
412,22018,Michigan,15352.0,1092490.0,Season 2018-19
413,22018,Minnesota,6559.0,305849.0,Season 2018-19
414,22018,Mississippi,27334.0,849133.0,Season 2018-19
415,22018,Missouri,3313.0,155054.0,Season 2018-19
416,22018,Montana,4843.0,341901.0,Season 2018-19
417,22018,Nebraska,11885.0,399773.0,Season 2018-19
418,22018,Nevada,7235.0,619147.0,Season 2018-19
419,22018,New Hampshire,1288.0,120581.0,Season 2018-19
420,22018,New Jersey,52617.0,1634350.0,Season 2018-19
421,22018,New Mexico,23911.0,918313.0,Season 2018-19
422,22018,New York,47991.0,2444560.0,Season 2018-19
423,22018,North Carolina,89733.0,4069986.0,Season 2018-19
424,22018,North Dakota,2489.0,144784.0,Season 2018-19
425,22018,Ohio,8790.0,718415.0,Season 2018-19
426,22018,Oklahoma,12070.0,332305.0,Season 2018-19
427,22018,Oregon,26369.0,1811152.0,Season 2018-19
428,22018,Pennsylvania,42289.0,2710564.0,Season 2018-19
429,22018,Rhode Island,4243.0,260809.0,Season 2018-19
430,22018,South Carolina,20038.0,605906.0,Season 2018-19
