REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Hawaii,2010,48,34,18,1732
States,Idaho,2010,48,86,13,4774
States,Illinois,2010,48,659,79,40646
States,Indiana,2010,48,109,43,12286
States,Iowa,2010,48,26,10,3142
States,Kansas,2010,48,66,42,9174
States,Kentucky,2010,48,111,14,16482
States,Louisiana,2010,48,443,40,16624
States,Maine,2010,48,23,31,6610
States,Maryland,2010,48,167,20,8962
States,Massachusetts,2010,48,260,54,28787
States,Michigan,2010,48,88,49,15586
States,Minnesota,2010,48,51,18,5962
States,Mississippi,2010,48,829,44,16970
States,Missouri,2010,48,132,30,8422
States,Montana,2010,48,1,6,2628
States,Nebraska,2010,48,99,15,3516
States,Nevada,2010,48,325,34,11244
States,New Hampshire,2010,48,7,29,5043
States,New Jersey,2010,48,144,24,5536
States,New Mexico,2010,48,234,25,8197
States,New York,2010,48,244,105,15007
States,North Carolina,2010,48,170,77,25844
States,North Dakota,2010,48,18,17,5186
States,Ohio,2010,48,59,50,16878
States,Oklahoma,2010,48,64,16,2984
States,Oregon,2010,48,27,20,3759
States,Pennsylvania,2010,48,217,65,17952
States,Rhode Island,2010,48,51,21,6660
States,South Carolina,2010,48,37,22,7258
States,South Dakota,2010,48,62,19,5600
States,Tennessee,2010,48,106,54,13155
States,Texas,2010,48,1273,93,49607
States,Utah,2010,48,66,22,7873
States,Vermont,2010,48,52,12,3301
States,Virginia,2010,48,970,88,61726
States,Washington,2010,48,35,17,3565
States,West Virginia,2010,48,159,38,11434
States,Wisconsin,2010,48,71,49,5587
States,Wyoming,2010,48,29,28,4884
States,Alabama,2010,49,656,37,11289
States,Alaska,2010,49,14,8,1755
States,Arizona,2010,49,517,53,24065
States,Arkansas,2010,49,44,17,4311
States,California,2010,49,1072,135,35077
States,Colorado,2010,49,154,12,19024
States,Connecticut,2010,49,23,11,3512
States,Delaware,2010,49,9,10,2492
States,Georgia,2010,49,1685,62,37531
States,Hawaii,2010,49,42,18,1734
States,Idaho,2010,49,81,13,4702
States,Illinois,2010,49,732,79,39506
States,Indiana,2010,49,112,42,11790
States,Iowa,2010,49,28,10,2934
States,Kansas,2010,49,86,43,10381
States,Kentucky,2010,49,90,15,15032
States,Louisiana,2010,49,492,40,17541
States,Maine,2010,49,26,31,5974
States,Maryland,2010,49,153,20,9864
States,Massachusetts,2010,49,272,54,28114
States,Michigan,2010,49,85,52,15087
States,Minnesota,2010,49,37,17,6332
States,Mississippi,2010,49,878,46,16447
States,Missouri,2010,49,113,31,8246
States,Montana,2010,49,1,6,2782
States,Nebraska,2010,49,91,16,3696
States,Nevada,2010,49,394,35,12002
States,New Hampshire,2010,49,12,30,4858
